,cities_found,temps,humidity,cloudiness,windspeed,lat
0,albany,49.55,87,90,10.29,-73.75
1,pevek,32.29,72,100,17.4,170.27
2,aksu,55.4,35,0,6.71,76.93
3,antsohihy,83.71,58,0,14.47,47.99
4,lagoa,64.0,88,0,9.17,-8.45
5,mataura,61.0,53,99,15.01,168.86
6,grindavik,47.48,81,75,32.21,-22.43
7,busselton,63.0,58,87,29.44,115.35
8,bluff,83.3,19,0,13.33,149.07
9,hofn,31.12,99,100,5.57,-15.21
10,batagay-alyta,11.41,71,100,4.21,130.41
11,atuona,79.99,78,22,17.43,-139.03
12,kishorganj,87.28,66,45,3.98,90.77
13,acapulco,78.8,88,40,2.24,-99.88
14,chokurdakh,27.32,95,100,18.92,147.9
15,rikitea,69.56,78,83,24.58,-134.97
16,sambava,80.13,64,55,4.83,50.17
17,katobu,94.58,35,13,2.42,122.53
18,nikolskoye,37.09,93,90,11.18,30.79
19,coihaique,44.6,52,0,6.93,-72.07
20,lompoc,52.16,93,1,3.36,-120.46
21,college,37.33,93,90,5.82,-147.8
22,avarua,75.2,73,64,4.7,-159.78
23,salinas,52.47,67,1,4.7,-121.66
24,sao geraldo do araguaia,74.75,77,6,3.51,-48.55
25,kangaatsiaq,41.7,64,83,11.86,-53.46
26,odienne,69.28,94,38,2.55,-7.57
27,loukhi,35.9,73,50,10.69,33.04
28,miquelon,46.96,65,30,18.92,-56.38
29,yellowknife,42.42,81,20,3.36,-114.38
30,lebu,59.92,81,10,4.47,38.73
31,longyearbyen,32.0,96,75,3.36,15.63
32,sarkand,64.22,28,53,6.26,79.91
33,pitimbu,75.2,88,75,9.17,-34.81
34,matara,56.84,76,43,10.18,29.48
35,vaini,79.68,74,40,3.36,74.49
36,punta arenas,42.42,70,40,25.28,-70.91
37,ribeira grande,71.11,81,64,24.16,-28.7
38,laguna,78.8,94,75,1.34,-88.94
39,udachnyy,26.6,92,90,2.24,112.4
40,ilulissat,48.2,34,100,25.28,-51.1
41,makakilo city,79.09,78,75,5.82,-158.09
42,umm lajj,85.4,72,18,6.22,37.27
43,katsuura,81.72,51,40,14.99,134.5
44,mahebourg,75.0,74,34,4.0,57.7
45,adrar,68.0,22,92,8.05,-0.29
46,torbay,38.57,76,20,14.99,-52.73
47,te anau,46.99,84,90,9.64,167.72
48,bembereke,71.31,95,100,5.99,2.66
49,zhigansk,29.21,53,30,5.79,123.37
50,ushuaia,42.8,99,40,18.34,-68.31
51,tasiilaq,42.8,75,100,16.11,-37.64
52,vanimo,83.71,66,83,6.06,141.3
53,jingdezhen,96.62,27,7,5.55,117.2
54,cape town,59.67,77,75,12.75,18.42
55,saint-philippe,42.31,100,90,10.29,-73.48
56,grand gaube,73.99,69,11,3.0,57.66
57,athabasca,33.47,95,0,5.28,-113.29
58,entre rios,67.37,99,33,3.44,-38.08
59,nishihara,83.75,61,75,21.92,139.53
60,new norfolk,52.86,50,40,18.34,147.06
61,malanje,68.75,90,94,3.31,16.35
62,hobart,52.84,50,40,18.34,147.33
63,hermanus,60.22,68,100,8.99,19.24
64,port lincoln,59.88,82,100,15.43,135.86
65,keflavik,47.48,81,75,32.21,-22.56
66,nanortalik,39.63,73,88,4.29,-45.24
